ID,Pagina ,Marca,Modelo ,Codigo Internet ,Color ,Costo proveedor,Costo de Venta Al Publico,Incremento,Residuo,Porcentaje %,Comicion Mercado,Comicion de Mercado Estimada,Ganancia Estimada,Ganancia Real,Difeencia de ganancias,Obervaciones
1,9,Battaglia ,52702,519149,Negro ,$429.50,$644.25,$214.75,$0.50,$50.00,$112.74,$112.74,$102.01,$102.01,$0.00,
2,9,Battaglia ,52702,519168,Topo,$429.50,$644.25,$214.75,$0.50,$50.00,$112.74,$112.74,$102.01,$102.01,$0.00,
3,11,Miracol ,2217,520438,Nutria,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,
4,11,Miracol ,2213,520426,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,
5,11,Miracol ,2213,520417,Cogna,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,
6,12,Milagros ,1477,498248,Moka,$429.50,$644.25,$214.75,$0.50,$50.00,$112.74,$112.74,$102.01,$102.01,$0.00,
7,12,Milagros ,1479,520133,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
8,12,Milagros ,1479,520124,Camel,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
9,13,Milagros ,14111,520302,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
10,13,Milagros ,14111,520291,Melle Obscuro,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
11,15,Milagros ,1141,520112,Nutria,$379.50,$569.25,$189.75,$0.50,$50.00,,$99.62,$90.13,$189.75,$99.62,
12,15,D Valeria ,3012,522982,Negro ,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
13,15,D Valeria ,3012,522971,Camel,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
14,16,Kiut ,9784,525847,Arena terra ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
15,16,Kiut ,9784,525858,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
16,17,Daddy New York ,21002,519474,Topo ,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
17,17,Daddy New York ,21002,519514,Negro ,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
18,19,Davichi ,530,522258,Melle ,$369.50,$554.25,$184.75,$0.50,$50.00,$96.99,$96.99,$87.76,$87.76,$0.00,
19,19,Davichi ,530,522312,Negro ,$369.50,$554.25,$184.75,$0.50,$50.00,$96.99,$96.99,$87.76,$87.76,$0.00,
20,19,Davichi ,531,522342,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
21,25,Battaglia Mia ,51810,519111,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
22,30,Milagros,2104,520154,Chocolate,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
23,30,Milagros ,2104,520166,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
24,35,Polo Hpc,3939,522933,Negro ,$529.50,$794.25,$264.75,$0.50,$50.00,,$138.99,$125.76,$264.75,$138.99,
25,40,Miracol,900,524541,Negro ,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
26,40,Miracol ,900,524571,Tan,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
27,41,Miracol,2207,481137,Negro / Avellana,$429.50,$644.25,$214.75,$0.50,$50.00,$112.74,$112.74,$102.01,$102.01,$0.00,
28,66,Milagros ,13111,520283,Sand,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
29,66,Milagros ,13107,520272,Negro ,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
30,66,Milagros ,13107,520269,Cognac ,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
31,81,Miracol ,4706,504699,Azul/beige,$439.50,$659.25,$219.75,$0.50,$50.00,$115.37,$115.37,$104.38,$104.38,$0.00,
32,81,Miracol ,7529,521080,Negro/Neutro,$419.50,$629.25,$209.75,$0.50,$50.00,$110.12,$110.12,$99.63,$99.63,$0.00,
33,81,Miracol ,7529,521091,Oro ingles/camel,$419.50,$629.25,$209.75,$0.50,$50.00,$110.12,$110.12,$99.63,$99.63,$0.00,
34,83,Lili mill ,3805,520886,Burgundy ,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
35,83,Lili mill ,3805,520897,Azul indigo ,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
36,83,Lili mill ,7706,520953,Negro,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
37,85,Lili mill ,4711,504747,Negro,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
38,85,Lili miil ,6827,520945,Berengena,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
39,85,Lili mill ,7707,520964,Negro,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
40,87,Miracol ,3907,521020,Musgo,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
41,87,Miracol ,3907,521039,Negro,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
42,88,Bagas Footwear ,1003,519045,Negro,$299.50,$449.25,$149.75,$0.50,$50.00,$78.62,$78.62,$71.13,$71.13,$0.00,
43,88,Bagas Footwear ,1004,519083,Ladrillo ,$299.50,$449.25,$149.75,$0.50,$50.00,$78.62,$78.62,$71.13,$71.13,$0.00,
44,88,Bagas Footwear ,1004,519120,Negro,$299.50,$449.25,$149.75,$0.50,$50.00,$78.62,$78.62,$71.13,$71.13,$0.00,
45,97,Cosmo New York ,9622,519273,Musgo,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
46,97,Cosmo New York ,9622,519313,Negro,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
47,97,Cosmo New York ,9622,519246,Ladrillo ,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
48,98,Miracol ,40436,501402,Tan ,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
49,98,Miracol ,40438,501411,Negro,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
50,98,Miracol ,40438,501423,Ostra,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
51,99,Miracol ,40441,519235,Neutro,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
52,99,Miracol 9620,9620,502612,Camel,$339.50,$509.25,$169.75,$0.50,$50.00,,$89.12,$80.63,$169.75,$89.12,Corregir talla
53,99,Miracol 9620,9620,502621,Negro,$339.50,$509.25,$169.75,$0.50,$50.00,,$89.12,$80.63,$169.75,$89.12,Corregir talla
